concept:name;case:concept:name;time:timestamp;end;type;user;travel_start;travel_end;cost
confirm travel expense report;1576;24.04.17 07:51;24.04.17 07:55;Employee;BX590;18.04.17;18.04.17;
decide on travel expense approval;1576;24.04.17 14:06;24.04.17 14:06;Manager;YS1169;18.04.17;18.04.17;
send request for travel expense correction;1576;24.04.17 14:06;24.04.17 14:07;;;18.04.17;18.04.17;
correct travel expense report;1576;26.04.17 06:59;26.04.17 07:12;Employee;BX590;18.04.17;18.04.17;
decide on travel expense approval;1576;26.04.17 13:59;26.04.17 14:06;Manager;YS1169;18.04.17;18.04.17;
send original documents to archive;1576;08.05.17 12:45;08.05.17 12:50;Employee;BX590;18.04.17;18.04.17;
calculate payments;1576;11.05.17 15:54;11.05.17 16:36;Accounting;GR7476;18.04.17;18.04.17;66,87
pay expenses;1576;19.05.17 08:59;19.05.17 09:10;Accounting;GR7476;18.04.17;18.04.17;60,87
file travel request;1581;09.01.17 05:59;09.01.17 06:16;Employee;DE6001;07.03.17;12.03.17;476,81
check if travel request needs preliminary price inquiry;1581;09.01.17 06:16;09.01.17 06:16;;;07.03.17;12.03.17;
decide on approval requirements;1581;09.01.17 06:16;09.01.17 06:16;;;07.03.17;12.03.17;
check if booking is necessary;1581;11.01.17 11:08;11.01.17 11:09;Travel Department;WG5857;07.03.17;12.03.17;
prepare booking proposal;1581;16.01.17 08:09;16.01.17 09:58;Travel Department;WG5857;07.03.17;12.03.17;
send booking proposal to employee;1581;18.01.17 15:08;18.01.17 15:09;Travel Department;WG5857;07.03.17;12.03.17;
check booking proposal;1581;18.01.17 18:14;18.01.17 18:18;Employee;DE6001;07.03.17;12.03.17;
book travel;1581;24.01.17 07:59;24.01.17 09:59;Travel Department;WG5857;07.03.17;12.03.17;
check if expense documents exist;1581;22.03.17 05:59;22.03.17 06:50;Employee;DE6001;07.03.17;12.03.17;
file travel expense report;1581;22.03.17 06:50;22.03.17 07:03;Employee;DE6001;07.03.17;12.03.17;
confirm travel expense report;1581;22.03.17 07:03;22.03.17 07:06;Employee;DE6001;07.03.17;12.03.17;
decide on travel expense approval;1581;22.03.17 12:59;22.03.17 13:02;Manager;MA6233;07.03.17;12.03.17;
send request for travel expense correction;1581;22.03.17 13:02;22.03.17 13:02;;;07.03.17;12.03.17;
correct travel expense report;1581;27.03.17 05:59;27.03.17 07:42;Employee;DE6001;07.03.17;12.03.17;
decide on travel expense approval;1581;27.03.17 14:03;27.03.17 14:06;Manager;MA6233;07.03.17;12.03.17;
send request for travel expense correction;1581;27.03.17 14:06;27.03.17 14:07;;;07.03.17;12.03.17;
correct travel expense report;1581;29.03.17 17:57;29.03.17 18:31;Employee;DE6001;07.03.17;12.03.17;
decide on travel expense approval;1581;30.03.17 13:59;30.03.17 14:06;Manager;MA6233;07.03.17;12.03.17;
send original documents to archive;1581;10.04.17 06:59;10.04.17 07:03;Employee;DE6001;07.03.17;12.03.17;
calculate payments;1581;04.05.17 08:59;04.05.17 09:54;Accounting;GR7476;07.03.17;12.03.17;505
pay expenses;1581;10.05.17 12:38;10.05.17 12:49;Accounting;GR7476;07.03.17;12.03.17;381
file travel request;1582;09.01.17 05:59;09.01.17 06:04;Employee;CS2520;15.02.17;19.02.17;465,58
check if travel request needs preliminary price inquiry;1582;09.01.17 06:04;09.01.17 06:05;;;15.02.17;19.02.17;
prepare booking proposal;1582;11.01.17 10:08;11.01.17 11:08;Travel Department;JV9257;15.02.17;19.02.17;
send booking proposal to employee;1582;16.01.17 08:05;16.01.17 08:09;Travel Department;JV9257;15.02.17;19.02.17;
check booking proposal;1582;16.01.17 13:16;16.01.17 13:25;Employee;CS2520;15.02.17;19.02.17;
transform price inquiry to travel request;1582;16.01.17 13:38;16.01.17 13:38;Employee;CS2520;15.02.17;19.02.17;
decide on approval requirements;1582;16.01.17 13:38;16.01.17 13:38;;;15.02.17;19.02.17;
check if booking is necessary;1582;19.01.17 08:46;19.01.17 08:48;Travel Department;JV9257;15.02.17;19.02.17;
prepare booking proposal;1582;24.01.17 11:32;24.01.17 12:54;Travel Department;JV9257;15.02.17;19.02.17;
send booking proposal to employee;1582;27.01.17 10:26;27.01.17 10:26;Travel Department;JV9257;15.02.17;19.02.17;
check booking proposal;1582;27.01.17 12:58;27.01.17 13:07;Employee;CS2520;15.02.17;19.02.17;
book travel;1582;01.02.17 13:42;01.02.17 14:45;Travel Department;JV9257;15.02.17;19.02.17;
check if expense documents exist;1582;24.02.17 14:14;24.02.17 14:52;Employee;CS2520;15.02.17;19.02.17;
upload travel expense documents;1582;24.02.17 14:52;24.02.17 14:59;Employee;CS2520;15.02.17;19.02.17;
file travel expense report;1582;24.02.17 14:59;24.02.17 15:13;Employee;CS2520;15.02.17;19.02.17;
confirm travel expense report;1582;24.02.17 15:13;24.02.17 15:15;Employee;CS2520;15.02.17;19.02.17;
decide on travel expense approval;1582;27.02.17 12:59;27.02.17 13:01;Manager;TF7102;15.02.17;19.02.17;
send original documents to archive;1582;14.03.17 20:35;14.03.17 21:26;Employee;CS2520;15.02.17;19.02.17;
calculate payments;1582;31.03.17 08:08;31.03.17 09:19;Accounting;CX8911;15.02.17;19.02.17;440,19
pay expenses;1582;04.04.17 09:11;04.04.17 09:23;Accounting;CX8911;15.02.17;19.02.17;424,19
file travel request;1584;09.01.17 05:59;09.01.17 06:17;Employee;KC5963;20.02.17;23.02.17;453,35
check if travel request needs preliminary price inquiry;1584;09.01.17 06:17;09.01.17 06:17;;;20.02.17;23.02.17;
decide on approval requirements;1584;09.01.17 06:17;09.01.17 06:19;;;20.02.17;23.02.17;
check if booking is necessary;1584;11.01.17 11:32;11.01.17 11:35;Travel Department;WG5857;20.02.17;23.02.17;
check if expense documents exist;1584;27.02.17 05:59;27.02.17 06:32;Employee;KC5963;20.02.17;23.02.17;
upload travel expense documents;1584;27.02.17 06:32;27.02.17 06:44;Employee;KC5963;20.02.17;23.02.17;
file travel expense report;1584;27.02.17 06:44;27.02.17 06:47;Employee;KC5963;20.02.17;23.02.17;
confirm travel expense report;1584;27.02.17 06:47;27.02.17 06:49;Employee;KC5963;20.02.17;23.02.17;
decide on travel expense approval;1584;27.02.17 13:07;27.02.17 13:07;Manager;YS1169;20.02.17;23.02.17;
send original documents to archive;1584;07.03.17 08:09;07.03.17 08:40;Employee;KC5963;20.02.17;23.02.17;
calculate payments;1584;10.04.17 09:33;10.04.17 10:58;Accounting;CX8911;20.02.17;23.02.17;450,73
pay expenses;1584;24.04.17 11:39;24.04.17 11:43;Accounting;CX8911;20.02.17;23.02.17;450,73
file travel request;1592;09.01.17 05:59;09.01.17 06:15;Employee;NF7192;02.02.17;03.02.17;433,09
check if travel request needs preliminary price inquiry;1592;09.01.17 06:15;09.01.17 06:15;;;02.02.17;03.02.17;
prepare booking proposal;1592;11.01.17 11:01;11.01.17 11:30;Travel Department;KS9688;02.02.17;03.02.17;
send booking proposal to employee;1592;16.01.17 09:27;16.01.17 09:30;Travel Department;KS9688;02.02.17;03.02.17;
check booking proposal;1592;16.01.17 13:16;16.01.17 13:21;Employee;NF7192;02.02.17;03.02.17;
transform price inquiry to travel request;1592;16.01.17 13:22;16.01.17 13:22;Employee;NF7192;02.02.17;03.02.17;
decide on approval requirements;1592;16.01.17 13:22;16.01.17 13:23;;;02.02.17;03.02.17;
check if booking is necessary;1592;19.01.17 08:17;19.01.17 08:19;Travel Department;KS9688;02.02.17;03.02.17;
check if expense documents exist;1592;13.02.17 05:59;13.02.17 06:24;Employee;NF7192;02.02.17;03.02.17;
upload travel expense documents;1592;13.02.17 06:24;13.02.17 06:30;Employee;NF7192;02.02.17;03.02.17;
file travel expense report;1592;13.02.17 06:30;13.02.17 06:44;Employee;NF7192;02.02.17;03.02.17;
confirm travel expense report;1592;13.02.17 06:44;13.02.17 06:48;Employee;NF7192;02.02.17;03.02.17;
decide on travel expense approval;1592;13.02.17 13:05;13.02.17 13:09;Manager;IC4569;02.02.17;03.02.17;
send request for travel expense correction;1592;13.02.17 13:09;13.02.17 13:11;;;02.02.17;03.02.17;
correct travel expense report;1592;23.02.17 08:31;23.02.17 08:50;Employee;NF7192;02.02.17;03.02.17;
decide on travel expense approval;1592;23.02.17 13:00;23.02.17 13:02;Manager;IC4569;02.02.17;03.02.17;
send request for travel expense correction;1592;23.02.17 13:02;23.02.17 13:04;;;02.02.17;03.02.17;
correct travel expense report;1592;27.02.17 05:59;27.02.17 06:12;Employee;NF7192;02.02.17;03.02.17;
decide on travel expense approval;1592;27.02.17 12:59;27.02.17 13:02;Manager;IC4569;02.02.17;03.02.17;
send original documents to archive;1592;02.03.17 05:59;02.03.17 06:29;Employee;NF7192;02.02.17;03.02.17;
calculate payments;1592;21.03.17 15:40;21.03.17 16:09;Accounting;VA7847;02.02.17;03.02.17;396,62
pay expenses;1592;29.03.17 07:59;29.03.17 09:07;Accounting;VA7847;02.02.17;03.02.17;396,62
file travel request;1598;09.01.17 10:45;09.01.17 10:57;Employee;SM4646;17.03.17;30.03.17;2700,47
check if travel request needs preliminary price inquiry;1598;09.01.17 10:57;09.01.17 10:57;;;17.03.17;30.03.17;
prepare booking proposal;1598;11.01.17 13:58;11.01.17 15:54;Travel Department;JV9257;17.03.17;30.03.17;
send booking proposal to employee;1598;16.01.17 13:06;16.01.17 13:07;Travel Department;JV9257;17.03.17;30.03.17;
check booking proposal;1598;16.01.17 18:32;16.01.17 18:35;Employee;SM4646;17.03.17;30.03.17;
transform price inquiry to travel request;1598;16.01.17 18:39;16.01.17 18:39;Employee;SM4646;17.03.17;30.03.17;
decide on approval requirements;1598;16.01.17 18:39;16.01.17 18:41;;;17.03.17;30.03.17;
forward request to approver;1598;16.01.17 18:41;16.01.17 18:42;;;17.03.17;30.03.17;
decide on request;1598;17.01.17 12:59;17.01.17 13:00;Manager;TF7102;17.03.17;30.03.17;
check if booking is necessary;1598;19.01.17 15:01;19.01.17 15:02;Travel Department;JV9257;17.03.17;30.03.17;
check if expense documents exist;1598;06.04.17 06:59;06.04.17 07:42;Employee;SM4646;17.03.17;30.03.17;
file travel expense report;1598;06.04.17 07:42;06.04.17 07:57;Employee;SM4646;17.03.17;30.03.17;
confirm travel expense report;1598;06.04.17 07:57;06.04.17 08:00;Employee;SM4646;17.03.17;30.03.17;
decide on travel expense approval;1598;06.04.17 13:59;06.04.17 14:01;Manager;TF7102;17.03.17;30.03.17;
send original documents to archive;1598;17.04.17 09:00;17.04.17 09:32;Employee;SM4646;17.03.17;30.03.17;
calculate payments;1598;11.05.17 09:35;11.05.17 09:54;Accounting;WE5108;17.03.17;30.03.17;2651,85
pay expenses;1598;29.05.17 10:11;29.05.17 10:20;Accounting;WE5108;17.03.17;30.03.17;2651,85
file travel request;1611;10.01.17 06:20;10.01.17 06:34;Employee;JY4233;21.01.17;13.02.17;2400,72
check if travel request needs preliminary price inquiry;1611;10.01.17 06:34;10.01.17 06:34;;;21.01.17;13.02.17;
decide on approval requirements;1611;10.01.17 06:34;10.01.17 06:35;;;21.01.17;13.02.17;
forward request to approver;1611;10.01.17 06:35;10.01.17 06:36;;;21.01.17;13.02.17;
decide on request;1611;10.01.17 12:59;10.01.17 13:05;Manager;TD8091;21.01.17;13.02.17;
check if booking is necessary;1611;12.01.17 15:52;12.01.17 15:54;Travel Department;WG5857;21.01.17;13.02.17;
check if expense documents exist;1611;20.02.17 05:59;20.02.17 07:05;Employee;JY4233;21.01.17;13.02.17;
upload travel expense documents;1611;20.02.17 07:05;20.02.17 07:17;Employee;JY4233;21.01.17;13.02.17;
file travel expense report;1611;20.02.17 07:17;20.02.17 07:25;Employee;JY4233;21.01.17;13.02.17;
confirm travel expense report;1611;20.02.17 07:25;20.02.17 07:26;Employee;JY4233;21.01.17;13.02.17;
decide on travel expense approval;1611;20.02.17 13:07;20.02.17 13:09;Manager;IH7395;21.01.17;13.02.17;
send original documents to archive;1611;24.02.17 20:45;24.02.17 21:11;Employee;JY4233;21.01.17;13.02.17;
calculate payments;1611;13.03.17 14:16;13.03.17 14:30;Accounting;GU1789;21.01.17;13.02.17;2420,72
pay expenses;1611;17.03.17 08:10;17.03.17 08:14;Accounting;GU1789;21.01.17;13.02.17;2420,72
file travel request;1623;11.01.17 05:59;11.01.17 06:14;Employee;YD3983;01.02.17;03.02.17;316,65
check if travel request needs preliminary price inquiry;1623;11.01.17 06:14;11.01.17 06:14;;;01.02.17;03.02.17;
decide on approval requirements;1623;11.01.17 06:14;11.01.17 06:15;;;01.02.17;03.02.17;
check if booking is necessary;1623;13.01.17 13:24;13.01.17 13:27;Travel Department;JV9257;01.02.17;03.02.17;
prepare booking proposal;1623;18.01.17 08:12;18.01.17 09:48;Travel Department;JV9257;01.02.17;03.02.17;
send booking proposal to employee;1623;20.01.17 14:59;20.01.17 15:02;Travel Department;JV9257;01.02.17;03.02.17;
check booking proposal;1623;20.01.17 18:16;20.01.17 18:26;Employee;YD3983;01.02.17;03.02.17;
book travel;1623;26.01.17 08:34;26.01.17 12:08;Travel Department;JV9257;01.02.17;03.02.17;
check if expense documents exist;1623;08.02.17 11:57;08.02.17 12:35;Employee;YD3983;01.02.17;03.02.17;
file travel expense report;1623;08.02.17 12:35;08.02.17 12:38;Employee;YD3983;01.02.17;03.02.17;
confirm travel expense report;1623;08.02.17 12:38;08.02.17 12:39;Employee;YD3983;01.02.17;03.02.17;
decide on travel expense approval;1623;08.02.17 13:00;08.02.17 13:05;Manager;JH852;01.02.17;03.02.17;
calculate payments;1623;23.02.17 10:39;23.02.17 11:14;Accounting;FQ3758;01.02.17;03.02.17;305,46
send original documents to archive;1623;23.02.17 14:40;23.02.17 14:55;Employee;YD3983;01.02.17;03.02.17;
pay expenses;1623;27.02.17 09:17;27.02.17 09:25;Accounting;FQ3758;01.02.17;03.02.17;44,46
file travel request;1624;11.01.17 05:59;11.01.17 06:08;Employee;TG6485;22.02.17;22.02.17;55,4
check if travel request needs preliminary price inquiry;1624;11.01.17 06:08;11.01.17 06:09;;;22.02.17;22.02.17;
prepare booking proposal;1624;13.01.17 12:53;13.01.17 13:19;Travel Department;KS9688;22.02.17;22.02.17;
send booking proposal to employee;1624;18.01.17 08:12;18.01.17 08:12;Travel Department;KS9688;22.02.17;22.02.17;
check booking proposal;1624;18.01.17 09:11;18.01.17 09:13;Employee;TG6485;22.02.17;22.02.17;
transform price inquiry to travel request;1624;18.01.17 09:18;18.01.17 09:18;Employee;TG6485;22.02.17;22.02.17;
decide on approval requirements;1624;18.01.17 09:18;18.01.17 09:19;;;22.02.17;22.02.17;
check if booking is necessary;1624;20.01.17 14:49;20.01.17 14:54;Travel Department;KS9688;22.02.17;22.02.17;
prepare booking proposal;1624;26.01.17 07:59;26.01.17 08:48;Travel Department;KS9688;22.02.17;22.02.17;
send booking proposal to employee;1624;30.01.17 12:30;30.01.17 12:32;Travel Department;KS9688;22.02.17;22.02.17;
check booking proposal;1624;30.01.17 16:45;30.01.17 16:51;Employee;TG6485;22.02.17;22.02.17;
book travel;1624;03.02.17 09:24;03.02.17 11:55;Travel Department;KS9688;22.02.17;22.02.17;
check if expense documents exist;1624;24.02.17 14:41;24.02.17 15:10;Employee;TG6485;22.02.17;22.02.17;
upload travel expense documents;1624;24.02.17 15:10;24.02.17 15:20;Employee;TG6485;22.02.17;22.02.17;
file travel expense report;1624;24.02.17 15:20;24.02.17 15:32;Employee;TG6485;22.02.17;22.02.17;
confirm travel expense report;1624;24.02.17 15:32;24.02.17 15:36;Employee;TG6485;22.02.17;22.02.17;
decide on travel expense approval;1624;27.02.17 12:59;27.02.17 13:05;Manager;MU7591;22.02.17;22.02.17;
send original documents to archive;1624;14.03.17 18:37;14.03.17 18:41;Employee;TG6485;22.02.17;22.02.17;
calculate payments;1624;27.03.17 09:49;27.03.17 11:22;Accounting;CX8911;22.02.17;22.02.17;4,72
pay expenses;1624;13.04.17 08:59;13.04.17 09:07;Accounting;CX8911;22.02.17;22.02.17;1,72
file travel request;1629;11.01.17 09:28;11.01.17 09:39;Employee;NV4384;06.03.17;06.03.17;64,61
check if travel request needs preliminary price inquiry;1629;11.01.17 09:39;11.01.17 09:40;;;06.03.17;06.03.17;
prepare booking proposal;1629;13.01.17 14:24;13.01.17 15:13;Travel Department;WG5857;06.03.17;06.03.17;
send booking proposal to employee;1629;18.01.17 09:59;18.01.17 10:06;Travel Department;WG5857;06.03.17;06.03.17;
check booking proposal;1629;18.01.17 11:11;18.01.17 11:22;Employee;NV4384;06.03.17;06.03.17;
check if expense documents exist;1629;14.03.17 18:12;14.03.17 18:54;Employee;NV4384;06.03.17;06.03.17;
upload travel expense documents;1629;14.03.17 18:54;14.03.17 18:59;Employee;NV4384;06.03.17;06.03.17;
file travel expense report;1629;14.03.17 18:59;14.03.17 19:14;Employee;NV4384;06.03.17;06.03.17;
confirm travel expense report;1629;14.03.17 19:14;14.03.17 19:16;Employee;NV4384;06.03.17;06.03.17;
decide on travel expense approval;1629;15.03.17 12:59;15.03.17 13:03;Manager;YS1169;06.03.17;06.03.17;
send original documents to archive;1629;27.03.17 05:59;27.03.17 07:28;Employee;NV4384;06.03.17;06.03.17;
calculate payments;1629;31.03.17 07:59;31.03.17 09:52;Accounting;WO40;06.03.17;06.03.17;18,43
pay expenses;1629;04.04.17 08:59;04.04.17 09:11;Accounting;WO40;06.03.17;06.03.17;18,43
file travel request;1635;11.01.17 18:19;11.01.17 18:54;Employee;NH6775;09.02.17;13.02.17;427,81
check if travel request needs preliminary price inquiry;1635;11.01.17 18:54;11.01.17 18:54;;;09.02.17;13.02.17;
decide on approval requirements;1635;11.01.17 18:54;11.01.17 18:56;;;09.02.17;13.02.17;
check if booking is necessary;1635;16.01.17 14:35;16.01.17 14:42;Travel Department;KS9688;09.02.17;13.02.17;
check if expense documents exist;1635;21.02.17 05:59;21.02.17 06:27;Employee;NH6775;09.02.17;13.02.17;
file travel expense report;1635;21.02.17 06:27;21.02.17 06:31;Employee;NH6775;09.02.17;13.02.17;
confirm travel expense report;1635;21.02.17 06:31;21.02.17 06:34;Employee;NH6775;09.02.17;13.02.17;
decide on travel expense approval;1635;21.02.17 12:59;21.02.17 13:04;Manager;CV4719;09.02.17;13.02.17;
send request for travel expense correction;1635;21.02.17 13:04;21.02.17 13:05;;;09.02.17;13.02.17;
correct travel expense report;1635;03.03.17 05:59;03.03.17 06:50;Employee;NH6775;09.02.17;13.02.17;
decide on travel expense approval;1635;03.03.17 12:59;03.03.17 13:06;Manager;CV4719;09.02.17;13.02.17;
send original documents to archive;1635;17.03.17 20:55;17.03.17 21:39;Employee;NH6775;09.02.17;13.02.17;
calculate payments;1635;20.03.17 09:52;20.03.17 10:52;Accounting;CX8911;09.02.17;13.02.17;414,5
pay expenses;1635;10.04.17 15:00;10.04.17 16:06;Accounting;CX8911;09.02.17;13.02.17;414,5
file travel request;1637;11.01.17 21:15;11.01.17 21:27;Employee;LD5149;;;176,06
check if travel request needs preliminary price inquiry;1637;11.01.17 21:27;11.01.17 21:27;;;;;
decide on approval requirements;1637;11.01.17 21:27;11.01.17 21:29;;;;;
check if booking is necessary;1637;17.01.17 07:59;17.01.17 08:06;Travel Department;AW2532;;;
prepare booking proposal;1637;19.01.17 11:53;19.01.17 13:50;Travel Department;AW2532;;;
send booking proposal to employee;1637;24.01.17 15:22;24.01.17 15:25;Travel Department;AW2532;;;
check booking proposal;1637;24.01.17 17:32;24.01.17 17:32;Employee;LD5149;;;
check if travel request is still needed and up to date;1637;03.02.17 05:59;03.02.17 06:04;Employee;LD5149;;;
request update of the booking proposal;1637;03.02.17 06:04;03.02.17 06:04;Employee;LD5149;;;
prepare booking proposal;1637;07.02.17 11:11;07.02.17 12:08;Travel Department;AW2532;;;
send booking proposal to employee;1637;13.02.17 07:59;13.02.17 08:04;Travel Department;AW2532;;;
check booking proposal;1637;13.02.17 11:01;13.02.17 11:06;Employee;LD5149;;;
check if travel request is still needed and up to date;1637;17.02.17 05:59;17.02.17 06:14;Employee;LD5149;;;
file travel request;1646;12.01.17 10:52;12.01.17 11:01;Employee;CK7672;07.02.17;07.02.17;53,46
check if travel request needs preliminary price inquiry;1646;12.01.17 11:01;12.01.17 11:02;;;07.02.17;07.02.17;
prepare booking proposal;1646;17.01.17 11:21;17.01.17 11:46;Travel Department;NV2279;07.02.17;07.02.17;
send booking proposal to employee;1646;19.01.17 13:15;19.01.17 13:19;Travel Department;NV2279;07.02.17;07.02.17;
check booking proposal;1646;19.01.17 15:16;19.01.17 15:23;Employee;CK7672;07.02.17;07.02.17;
transform price inquiry to travel request;1646;19.01.17 15:32;19.01.17 15:32;Employee;CK7672;07.02.17;07.02.17;
decide on approval requirements;1646;19.01.17 15:32;19.01.17 15:34;;;07.02.17;07.02.17;
check if booking is necessary;1646;25.01.17 08:00;25.01.17 08:06;Travel Department;NV2279;07.02.17;07.02.17;
check if expense documents exist;1646;13.02.17 05:59;13.02.17 07:03;Employee;CK7672;07.02.17;07.02.17;
upload travel expense documents;1646;13.02.17 07:03;13.02.17 07:17;Employee;CK7672;07.02.17;07.02.17;
file travel expense report;1646;13.02.17 07:17;13.02.17 07:24;Employee;CK7672;07.02.17;07.02.17;
confirm travel expense report;1646;13.02.17 07:24;13.02.17 07:27;Employee;CK7672;07.02.17;07.02.17;
decide on travel expense approval;1646;13.02.17 13:12;13.02.17 13:15;Manager;YS1169;07.02.17;07.02.17;
send original documents to archive;1646;14.02.17 09:37;14.02.17 10:05;Employee;CK7672;07.02.17;07.02.17;
calculate payments;1646;02.03.17 08:33;02.03.17 08:55;Accounting;FQ3758;07.02.17;07.02.17;46,25
pay expenses;1646;06.03.17 09:35;06.03.17 09:40;Accounting;FQ3758;07.02.17;07.02.17;46,25
file travel request;1649;12.01.17 15:31;12.01.17 15:50;Employee;JE522;16.04.17;17.04.17;360,75
check if travel request needs preliminary price inquiry;1649;12.01.17 15:50;12.01.17 15:50;;;16.04.17;17.04.17;
decide on approval requirements;1649;12.01.17 15:50;12.01.17 15:52;;;16.04.17;17.04.17;
check if booking is necessary;1649;17.01.17 12:34;17.01.17 12:37;Travel Department;AW2532;16.04.17;17.04.17;
prepare booking proposal;1649;19.01.17 13:50;19.01.17 15:02;Travel Department;AW2532;16.04.17;17.04.17;
send booking proposal to employee;1649;25.01.17 07:59;25.01.17 08:02;Travel Department;AW2532;16.04.17;17.04.17;
check booking proposal;1649;25.01.17 08:57;25.01.17 08:58;Employee;JE522;16.04.17;17.04.17;
book travel;1649;27.01.17 13:07;27.01.17 13:59;Travel Department;AW2532;16.04.17;17.04.17;
check if expense documents exist;1649;19.04.17 06:59;19.04.17 07:32;Employee;JE522;16.04.17;17.04.17;
upload travel expense documents;1649;19.04.17 07:32;19.04.17 07:36;Employee;JE522;16.04.17;17.04.17;
file travel expense report;1649;19.04.17 07:36;19.04.17 07:52;Employee;JE522;16.04.17;17.04.17;
confirm travel expense report;1649;19.04.17 07:52;19.04.17 07:54;Employee;JE522;16.04.17;17.04.17;
decide on travel expense approval;1649;19.04.17 14:00;19.04.17 14:03;Manager;OX4346;16.04.17;17.04.17;
send original documents to archive;1649;19.04.17 19:48;19.04.17 20:01;Employee;JE522;16.04.17;17.04.17;
calculate payments;1649;30.05.17 08:59;30.05.17 09:38;Accounting;JK6642;16.04.17;17.04.17;386,65
pay expenses;1649;07.06.17 09:19;07.06.17 09:26;Accounting;JK6642;16.04.17;17.04.17;5,65
file travel request;1662;13.01.17 10:49;13.01.17 10:56;Employee;YM1190;24.02.17;25.02.17;421,04
check if travel request needs preliminary price inquiry;1662;13.01.17 10:56;13.01.17 10:56;;;24.02.17;25.02.17;
prepare booking proposal;1662;17.01.17 15:51;17.01.17 16:22;Travel Department;KS9688;24.02.17;25.02.17;
send booking proposal to employee;1662;20.01.17 09:27;20.01.17 09:27;Travel Department;KS9688;24.02.17;25.02.17;
check booking proposal;1662;20.01.17 12:33;20.01.17 12:35;Employee;YM1190;24.02.17;25.02.17;
transform price inquiry to travel request;1662;20.01.17 12:39;20.01.17 12:39;Employee;YM1190;24.02.17;25.02.17;
decide on approval requirements;1662;20.01.17 12:39;20.01.17 12:40;;;24.02.17;25.02.17;
check if booking is necessary;1662;25.01.17 13:27;25.01.17 13:32;Travel Department;KS9688;24.02.17;25.02.17;
check if expense documents exist;1662;27.02.17 05:59;27.02.17 06:55;Employee;YM1190;24.02.17;25.02.17;
upload travel expense documents;1662;27.02.17 06:55;27.02.17 07:22;Employee;YM1190;24.02.17;25.02.17;
file travel expense report;1662;27.02.17 07:22;27.02.17 07:35;Employee;YM1190;24.02.17;25.02.17;
confirm travel expense report;1662;27.02.17 07:35;27.02.17 07:35;Employee;YM1190;24.02.17;25.02.17;
decide on travel expense approval;1662;27.02.17 13:12;27.02.17 13:13;Manager;YS1169;24.02.17;25.02.17;
send original documents to archive;1662;06.03.17 09:24;06.03.17 09:33;Employee;YM1190;24.02.17;25.02.17;
calculate payments;1662;20.03.17 08:58;20.03.17 10:00;Accounting;WE5108;24.02.17;25.02.17;403,9
pay expenses;1662;05.04.17 13:21;05.04.17 14:29;Accounting;WE5108;24.02.17;25.02.17;403,9
file travel request;1664;13.01.17 13:55;13.01.17 14:10;Employee;LJ16;21.03.17;23.03.17;265,37
check if travel request needs preliminary price inquiry;1664;13.01.17 14:10;13.01.17 14:10;;;21.03.17;23.03.17;
prepare booking proposal;1664;18.01.17 09:13;18.01.17 10:29;Travel Department;NV2279;21.03.17;23.03.17;
send booking proposal to employee;1664;20.01.17 15:04;20.01.17 15:07;Travel Department;NV2279;21.03.17;23.03.17;
check booking proposal;1664;20.01.17 18:05;20.01.17 18:08;Employee;LJ16;21.03.17;23.03.17;
transform price inquiry to travel request;1664;20.01.17 18:12;20.01.17 18:12;Employee;LJ16;21.03.17;23.03.17;
decide on approval requirements;1664;20.01.17 18:12;20.01.17 18:14;;;21.03.17;23.03.17;
check if booking is necessary;1664;26.01.17 08:32;26.01.17 08:34;Travel Department;NV2279;21.03.17;23.03.17;
check if expense documents exist;1664;23.03.17 11:34;23.03.17 11:58;Employee;LJ16;21.03.17;23.03.17;
upload travel expense documents;1664;23.03.17 11:58;23.03.17 12:06;Employee;LJ16;21.03.17;23.03.17;
file travel expense report;1664;23.03.17 12:06;23.03.17 12:20;Employee;LJ16;21.03.17;23.03.17;
confirm travel expense report;1664;23.03.17 12:20;23.03.17 12:21;Employee;LJ16;21.03.17;23.03.17;
decide on travel expense approval;1664;23.03.17 13:00;23.03.17 13:02;Manager;CN787;21.03.17;23.03.17;
send original documents to archive;1664;06.04.17 13:06;06.04.17 14:40;Employee;LJ16;21.03.17;23.03.17;
calculate payments;1664;17.04.17 11:46;17.04.17 13:47;Accounting;FI12;21.03.17;23.03.17;211,09
pay expenses;1664;21.04.17 09:04;21.04.17 09:14;Accounting;FI12;21.03.17;23.03.17;211,09
file travel request;1669;13.01.17 21:24;13.01.17 21:37;Employee;HS5906;07.03.17;25.03.17;4042,82
check if travel request needs preliminary price inquiry;1669;13.01.17 21:37;13.01.17 21:37;;;07.03.17;25.03.17;
decide on approval requirements;1669;13.01.17 21:37;13.01.17 21:38;;;07.03.17;25.03.17;
forward request to approver;1669;13.01.17 21:38;13.01.17 21:39;;;07.03.17;25.03.17;
decide on request;1669;16.01.17 12:59;16.01.17 13:04;Manager;MA6233;07.03.17;25.03.17;
check if booking is necessary;1669;19.01.17 08:07;19.01.17 08:11;Travel Department;AW2532;07.03.17;25.03.17;
check if expense documents exist;1669;27.03.17 05:59;27.03.17 07:43;Employee;HS5906;07.03.17;25.03.17;
upload travel expense documents;1669;27.03.17 07:43;27.03.17 07:50;Employee;HS5906;07.03.17;25.03.17;
file travel expense report;1669;27.03.17 07:50;27.03.17 08:01;Employee;HS5906;07.03.17;25.03.17;
