stage;activity;case;start;end;case start;case end;previous;current;waiting_time_day;waiting_time_min;activity_duration_min;total_min;total_days;previous;case_aggregate_min;case_aggregate_days;type;user;till_trip_starts;travel_start;travel_end;travel_duration;since_trip_end;cost;kind_of_non-conformance
planning;check booking proposal;2080;17.02.17 17:27;17.02.17 17:28;NO;NO;send booking proposal to employee;check booking proposal;0,24;350;1;351;0,24;12819;13170;9,15;Employee;HK3447;72,27;01.05.17;11.05.17;10;;;truly non-conforming
planning;transform price inquiry to travel request;2080;17.02.17 17:31;17.02.17 17:31;NO;NO;check booking proposal;transform price inquiry to travel request;0;3;0;3;0;13170;13173;9,15;Employee;HK3447;72,27;01.05.17;11.05.17;10;;;truly non-conforming
planning;decide on approval requirements;2080;17.02.17 17:31;17.02.17 17:31;NO;NO;transform price inquiry to travel request;decide on approval requirements;0;0;0;0;0;13173;13173;9,15;;;72,27;01.05.17;11.05.17;10;;;truly non-conforming
planning;forward request to approver;2080;17.02.17 17:31;17.02.17 17:32;NO;NO;decide on approval requirements;forward request to approver;0;0;1;1;0;13173;13174;9,15;;;72,27;01.05.17;11.05.17;10;;;truly non-conforming
planning;decide on request;2080;20.02.17 12:59;20.02.17 13:07;NO;NO;forward request to approver;decide on request;2,81;4047;8;4055;2,82;13174;17229;11,96;Manager;MA6233;69,45;01.05.17;11.05.17;10;;;truly non-conforming
planning;check if booking is necessary;2080;24.02.17 13:12;24.02.17 13:17;NO;NO;decide on request;check if booking is necessary;4;5765;5;5770;4,01;17229;22999;15,97;Travel Department;KS9688;65,45;01.05.17;11.05.17;10;;;truly non-conforming
planning;prepare booking proposal;2080;01.03.17 12:45;01.03.17 13:35;NO;NO;check if booking is necessary;prepare booking proposal;4,98;7168;50;7218;5,01;22999;30217;20,98;Travel Department;KS9688;60,43;01.05.17;11.05.17;10;;;truly non-conforming
planning;send booking proposal to employee;2080;07.03.17 10:44;07.03.17 10:47;NO;NO;prepare booking proposal;send booking proposal to employee;5,88;8469;3;8472;5,88;30217;38689;26,87;Travel Department;KS9688;54,55;01.05.17;11.05.17;10;;;truly non-conforming
planning;check booking proposal;2080;07.03.17 15:29;07.03.17 15:35;NO;NO;send booking proposal to employee;check booking proposal;0,2;282;6;288;0,2;38689;38977;27,07;Employee;HK3447;54,35;01.05.17;11.05.17;10;;;truly non-conforming
planning;book travel;2080;13.03.17 10:45;13.03.17 12:11;NO;NO;check booking proposal;book travel;5,8;8350;86;8436;5,86;38977;47413;32,93;Travel Department;KS9688;48,49;01.05.17;11.05.17;10;;;truly non-conforming
reporting;check if expense documents exist;2080;15.05.17 06:59;15.05.17 07:06;NO;NO;book travel;check if expense documents exist;62,78;90408;7;90415;62,79;47413;137828;95,71;Employee;HK3447;;01.05.17;11.05.17;10;4,29;;truly non-conforming
reporting;upload travel expense documents;2080;15.05.17 07:06;15.05.17 07:17;NO;NO;check if expense documents exist;upload travel expense documents;0;0;11;11;0,01;137828;137839;95,72;Employee;HK3447;;01.05.17;11.05.17;10;4,3;;truly non-conforming
reporting;file travel expense report;2080;15.05.17 07:17;15.05.17 07:29;NO;NO;upload travel expense documents;file travel expense report;0;0;12;12;0,01;137839;137851;95,73;Employee;HK3447;;01.05.17;11.05.17;10;4,3;;truly non-conforming
reporting;confirm travel expense report;2080;15.05.17 07:29;15.05.17 07:33;NO;NO;file travel expense report;confirm travel expense report;0;0;4;4;0;137851;137855;95,73;Employee;HK3447;;01.05.17;11.05.17;10;4,31;;truly non-conforming
reporting;decide on travel expense approval;2080;15.05.17 14:02;15.05.17 14:04;NO;NO;confirm travel expense report;decide on travel expense approval;0,27;389;2;391;0,27;137855;138246;96;Manager;MA6233;;01.05.17;11.05.17;10;4,58;;truly non-conforming
reporting;send original documents to archive;2080;22.05.17 06:59;22.05.17 07:20;NO;NO;decide on travel expense approval;send original documents to archive;6,7;9655;21;9676;6,72;138246;147922;102,72;Employee;HK3447;;01.05.17;11.05.17;10;11,29;;truly non-conforming
reporting;calculate payments;2080;20.06.17 09:14;20.06.17 09:57;NO;NO;send original documents to archive;calculate payments;29,08;41874;43;41917;29,11;147922;189839;131,83;Accounting;VA7847;;01.05.17;11.05.17;10;40,38;930,29;truly non-conforming
reporting;pay expenses;2080;23.06.17 14:47;23.06.17 14:55;NO;YES;calculate payments;pay expenses;3,2;4610;8;4618;3,21;189839;194457;135,04;Accounting;VA7847;;01.05.17;11.05.17;10;43,62;604,29;truly non-conforming
planning;file travel request;2082;08.02.17 16:50;08.02.17 16:59;YES;NO;pay expenses;file travel request;;;9;9;0,01;;9;0,01;Employee;GA5429;78,29;28.04.17;03.05.17;5;;419,15;truly non-conforming
planning;check if travel request needs preliminary price inquiry;2082;08.02.17 16:59;08.02.17 16:59;NO;NO;file travel request;check if travel request needs preliminary price inquiry;0;0;0;0;0;9;9;0,01;;;78,29;28.04.17;03.05.17;5;;;truly non-conforming
planning;decide on approval requirements;2082;08.02.17 16:59;08.02.17 17:01;NO;NO;check if travel request needs preliminary price inquiry;decide on approval requirements;0;0;2;2;0;9;11;0,01;;;78,29;28.04.17;03.05.17;5;;;truly non-conforming
planning;check if booking is necessary;2082;13.02.17 15:28;13.02.17 15:30;NO;NO;decide on approval requirements;check if booking is necessary;4,94;7107;2;7109;4,94;11;7120;4,94;Travel Department;WG5857;73,35;28.04.17;03.05.17;5;;;truly non-conforming
reporting;check if expense documents exist;2082;05.05.17 13:47;05.05.17 14:40;NO;NO;check if booking is necessary;check if expense documents exist;80,93;116537;53;116590;80,97;7120;123710;85,91;Employee;GA5429;;28.04.17;03.05.17;5;2,57;;truly non-conforming
reporting;upload travel expense documents;2082;05.05.17 14:40;05.05.17 14:52;NO;NO;check if expense documents exist;upload travel expense documents;0;0;12;12;0,01;123710;123722;85,92;Employee;GA5429;;28.04.17;03.05.17;5;2,61;;truly non-conforming
reporting;file travel expense report;2082;05.05.17 14:52;05.05.17 15:01;NO;NO;upload travel expense documents;file travel expense report;0;0;9;9;0,01;123722;123731;85,92;Employee;GA5429;;28.04.17;03.05.17;5;2,62;;truly non-conforming
reporting;confirm travel expense report;2082;05.05.17 15:01;05.05.17 15:05;NO;NO;file travel expense report;confirm travel expense report;0;0;4;4;0;123731;123735;85,93;Employee;GA5429;;28.04.17;03.05.17;5;2,63;;truly non-conforming
reporting;decide on travel expense approval;2082;08.05.17 13:59;08.05.17 14:06;NO;NO;confirm travel expense report;decide on travel expense approval;2,95;4254;7;4261;2,96;123735;127996;88,89;Manager;MA6233;;28.04.17;03.05.17;5;5,58;;truly non-conforming
reporting;send original documents to archive;2082;22.05.17 15:10;22.05.17 16:00;NO;NO;decide on travel expense approval;send original documents to archive;14,04;20224;50;20274;14,08;127996;148270;102,97;Employee;GA5429;;28.04.17;03.05.17;5;19,63;;truly non-conforming
reporting;calculate payments;2082;12.06.17 09:34;12.06.17 10:06;NO;NO;send original documents to archive;calculate payments;20,73;29854;32;29886;20,75;148270;178156;123,72;Accounting;JK6642;;28.04.17;03.05.17;5;40,4;437,4;truly non-conforming
reporting;pay expenses;2082;14.06.17 09:05;14.06.17 09:10;NO;YES;calculate payments;pay expenses;1,96;2819;5;2824;1,96;178156;180980;125,68;Accounting;JK6642;;28.04.17;03.05.17;5;42,38;437,4;truly non-conforming
planning;file travel request;2085;08.02.17 21:27;08.02.17 21:51;YES;NO;pay expenses;file travel request;;;24;24;0,02;;24;0,02;Employee;IC4569;85,09;05.05.17;14.05.17;9;;2664,75;truly non-conforming
planning;check if travel request needs preliminary price inquiry;2085;08.02.17 21:51;08.02.17 21:51;NO;NO;file travel request;check if travel request needs preliminary price inquiry;0;0;0;0;0;24;24;0,02;;;85,09;05.05.17;14.05.17;9;;;truly non-conforming
planning;decide on approval requirements;2085;08.02.17 21:51;08.02.17 21:52;NO;NO;check if travel request needs preliminary price inquiry;decide on approval requirements;0;0;1;1;0;24;25;0,02;;;85,09;05.05.17;14.05.17;9;;;truly non-conforming
planning;forward request to approver;2085;08.02.17 21:52;08.02.17 21:53;NO;NO;decide on approval requirements;forward request to approver;0;0;1;1;0;25;26;0,02;;;85,09;05.05.17;14.05.17;9;;;truly non-conforming
planning;decide on request;2085;09.02.17 12:59;09.02.17 13:02;NO;NO;forward request to approver;decide on request;0,63;906;3;909;0,63;26;935;0,65;Manager;IC4569;84,46;05.05.17;14.05.17;9;;;truly non-conforming
planning;check if booking is necessary;2085;14.02.17 13:12;14.02.17 13:14;NO;NO;decide on request;check if booking is necessary;5,01;7210;2;7212;5,01;935;8147;5,66;Travel Department;AW2532;79,45;05.05.17;14.05.17;9;;;truly non-conforming
reporting;check if expense documents exist;2085;17.05.17 12:29;17.05.17 12:32;NO;NO;check if booking is necessary;check if expense documents exist;91,97;132435;3;132438;91,97;8147;140585;97,63;Employee;IC4569;;05.05.17;14.05.17;9;3,52;;truly non-conforming
reporting;upload travel expense documents;2085;17.05.17 12:32;17.05.17 12:48;NO;NO;check if expense documents exist;upload travel expense documents;0;0;16;16;0,01;140585;140601;97,64;Employee;IC4569;;05.05.17;14.05.17;9;3,52;;truly non-conforming
reporting;file travel expense report;2085;17.05.17 12:48;17.05.17 12:56;NO;NO;upload travel expense documents;file travel expense report;0;0;8;8;0,01;140601;140609;97,65;Employee;IC4569;;05.05.17;14.05.17;9;3,53;;truly non-conforming
reporting;confirm travel expense report;2085;17.05.17 12:56;17.05.17 12:58;NO;NO;file travel expense report;confirm travel expense report;0;0;2;2;0;140609;140611;97,65;Employee;IC4569;;05.05.17;14.05.17;9;3,54;;truly non-conforming
reporting;decide on travel expense approval;2085;17.05.17 14:03;17.05.17 14:06;NO;NO;confirm travel expense report;decide on travel expense approval;0,05;65;3;68;0,05;140611;140679;97,69;Manager;HK6824;;05.05.17;14.05.17;9;3,59;;truly non-conforming
reporting;send original documents to archive;2085;01.06.17 06:59;01.06.17 07:12;NO;NO;decide on travel expense approval;send original documents to archive;14,7;21173;13;21186;14,71;140679;161865;112,41;Employee;IC4569;;05.05.17;14.05.17;9;18,29;;truly non-conforming
reporting;calculate payments;2085;15.06.17 08:59;15.06.17 09:21;NO;NO;send original documents to archive;calculate payments;14,07;20267;22;20289;14,09;161865;182154;126,5;Accounting;GU1789;;05.05.17;14.05.17;9;32,37;2681,52;truly non-conforming
reporting;pay expenses;2085;29.06.17 09:05;29.06.17 09:16;NO;YES;calculate payments;pay expenses;13,99;20144;11;20155;14;182154;202309;140,49;Accounting;GU1789;;05.05.17;14.05.17;9;46,38;2681,52;truly non-conforming
planning;file travel request;2086;09.02.17 05:59;09.02.17 06:07;YES;NO;pay expenses;file travel request;;;8;8;0,01;;8;0,01;Employee;CU2890;36,75;18.03.17;22.03.17;4;;410,89;truly non-conforming
planning;check if travel request needs preliminary price inquiry;2086;09.02.17 06:07;09.02.17 06:07;NO;NO;file travel request;check if travel request needs preliminary price inquiry;0;0;0;0;0;8;8;0,01;;;36,75;18.03.17;22.03.17;4;;;truly non-conforming
planning;decide on approval requirements;2086;09.02.17 06:07;09.02.17 06:08;NO;NO;check if travel request needs preliminary price inquiry;decide on approval requirements;0;0;1;1;0;8;9;0,01;;;36,74;18.03.17;22.03.17;4;;;truly non-conforming
planning;check if booking is necessary;2086;14.02.17 08:06;14.02.17 08:07;NO;NO;decide on approval requirements;check if booking is necessary;5,08;7318;1;7319;5,08;9;7328;5,09;Travel Department;NV2279;31,66;18.03.17;22.03.17;4;;;truly non-conforming
planning;prepare booking proposal;2086;17.02.17 14:14;17.02.17 16:03;NO;NO;check if booking is necessary;prepare booking proposal;3,25;4687;109;4796;3,33;7328;12124;8,42;Travel Department;NV2279;28,33;18.03.17;22.03.17;4;;;truly non-conforming
planning;send booking proposal to employee;2086;22.02.17 13:52;22.02.17 13:54;NO;NO;prepare booking proposal;send booking proposal to employee;4,91;7069;2;7071;4,91;12124;19195;13,33;Travel Department;NV2279;23,42;18.03.17;22.03.17;4;;;truly non-conforming
planning;check booking proposal;2086;22.02.17 15:43;22.02.17 15:48;NO;NO;send booking proposal to employee;check booking proposal;0,08;109;5;114;0,08;19195;19309;13,41;Employee;CU2890;23,34;18.03.17;22.03.17;4;;;truly non-conforming
planning;book travel;2086;28.02.17 10:00;28.02.17 10:39;NO;NO;check booking proposal;book travel;5,76;8292;39;8331;5,79;19309;27640;19,19;Travel Department;NV2279;17,56;18.03.17;22.03.17;4;;;truly non-conforming
reporting;check if expense documents exist;2086;23.03.17 08:11;23.03.17 08:57;NO;NO;book travel;check if expense documents exist;22,9;32972;46;33018;22,93;27640;60658;42,12;Employee;CU2890;;18.03.17;22.03.17;4;1,34;;truly non-conforming
reporting;upload travel expense documents;2086;23.03.17 08:57;23.03.17 09:04;NO;NO;check if expense documents exist;upload travel expense documents;0;0;7;7;0;60658;60665;42,13;Employee;CU2890;;18.03.17;22.03.17;4;1,37;;truly non-conforming
reporting;file travel expense report;2086;23.03.17 09:04;23.03.17 09:10;NO;NO;upload travel expense documents;file travel expense report;0;0;6;6;0;60665;60671;42,13;Employee;CU2890;;18.03.17;22.03.17;4;1,38;;truly non-conforming
reporting;confirm travel expense report;2086;23.03.17 09:10;23.03.17 09:13;NO;NO;file travel expense report;confirm travel expense report;0;0;3;3;0;60671;60674;42,13;Employee;CU2890;;18.03.17;22.03.17;4;1,38;;truly non-conforming
reporting;decide on travel expense approval;2086;23.03.17 12:59;23.03.17 13:04;NO;NO;confirm travel expense report;decide on travel expense approval;0,16;226;5;231;0,16;60674;60905;42,3;Manager;MA6233;;18.03.17;22.03.17;4;1,54;;truly non-conforming
reporting;send original documents to archive;2086;11.04.17 05:59;11.04.17 07:57;NO;NO;decide on travel expense approval;send original documents to archive;18,7;26935;118;27053;18,79;60905;87958;61,08;Employee;CU2890;;18.03.17;22.03.17;4;20,25;;truly non-conforming
reporting;calculate payments;2086;19.04.17 08:08;19.04.17 09:34;NO;NO;send original documents to archive;calculate payments;8,01;11531;86;11617;8,07;87958;99575;69,15;Accounting;WE5108;;18.03.17;22.03.17;4;28,34;368,79;truly non-conforming
reporting;pay expenses;2086;03.05.17 09:04;03.05.17 09:08;NO;YES;calculate payments;pay expenses;13,98;20130;4;20134;13,98;99575;119709;83,13;Accounting;WE5108;;18.03.17;22.03.17;4;42,38;173,79;truly non-conforming
planning;file travel request;2087;09.02.17 05:59;09.02.17 06:06;YES;NO;pay expenses;file travel request;;;7;7;0;;7;0;Employee;LX3274;52,75;03.04.17;05.04.17;2;;216,29;truly non-conforming
planning;check if travel request needs preliminary price inquiry;2087;09.02.17 06:06;09.02.17 06:07;NO;NO;file travel request;check if travel request needs preliminary price inquiry;0;0;1;1;0;7;8;0,01;;;52,75;03.04.17;05.04.17;2;;;truly non-conforming
planning;prepare booking proposal;2087;14.02.17 07:59;14.02.17 09:09;NO;NO;check if travel request needs preliminary price inquiry;prepare booking proposal;5,08;7312;70;7382;5,13;8;7390;5,13;Travel Department;WG5857;47,62;03.04.17;05.04.17;2;;;truly non-conforming
planning;send booking proposal to employee;2087;17.02.17 15:25;17.02.17 15:28;NO;NO;prepare booking proposal;send booking proposal to employee;3,26;4696;3;4699;3,26;7390;12089;8,4;Travel Department;WG5857;44,36;03.04.17;05.04.17;2;;;truly non-conforming
planning;check booking proposal;2087;17.02.17 19:32;17.02.17 19:42;NO;NO;send booking proposal to employee;check booking proposal;0,17;244;10;254;0,18;12089;12343;8,57;Employee;LX3274;44,18;03.04.17;05.04.17;2;;;truly non-conforming
planning;transform price inquiry to travel request;2087;17.02.17 19:46;17.02.17 19:46;NO;NO;check booking proposal;transform price inquiry to travel request;0;4;0;4;0;12343;12347;8,57;Employee;LX3274;44,18;03.04.17;05.04.17;2;;;truly non-conforming
planning;decide on approval requirements;2087;17.02.17 19:46;17.02.17 19:47;NO;NO;transform price inquiry to travel request;decide on approval requirements;0;0;1;1;0;12347;12348;8,58;;;44,18;03.04.17;05.04.17;2;;;truly non-conforming
planning;check if booking is necessary;2087;23.02.17 07:59;23.02.17 08:04;NO;NO;decide on approval requirements;check if booking is necessary;5,51;7932;5;7937;5,51;12348;20285;14,09;Travel Department;WG5857;38,66;03.04.17;05.04.17;2;;;truly non-conforming
planning;prepare booking proposal;2087;28.02.17 13:43;28.02.17 14:49;NO;NO;check if booking is necessary;prepare booking proposal;5,24;7539;66;7605;5,28;20285;27890;19,37;Travel Department;WG5857;33,38;03.04.17;05.04.17;2;;;truly non-conforming
planning;send booking proposal to employee;2087;06.03.17 09:43;06.03.17 09:45;NO;NO;prepare booking proposal;send booking proposal to employee;5,79;8334;2;8336;5,79;27890;36226;25,16;Travel Department;WG5857;27,59;03.04.17;05.04.17;2;;;truly non-conforming
planning;check booking proposal;2087;06.03.17 10:55;06.03.17 11:05;NO;NO;send booking proposal to employee;check booking proposal;0,05;70;10;80;0,06;36226;36306;25,21;Employee;LX3274;27,54;03.04.17;05.04.17;2;;;truly non-conforming
planning;book travel;2087;10.03.17 07:59;10.03.17 08:53;NO;NO;check booking proposal;book travel;3,87;5574;54;5628;3,91;36306;41934;29,12;Travel Department;WG5857;23,63;03.04.17;05.04.17;2;;;truly non-conforming
reporting;check if expense documents exist;2087;10.04.17 06:59;10.04.17 07:41;NO;NO;book travel;check if expense documents exist;30,92;44526;42;44568;30,95;41934;86502;60,07;Employee;LX3274;;03.04.17;05.04.17;2;5,29;;truly non-conforming
reporting;upload travel expense documents;2087;10.04.17 07:41;10.04.17 07:48;NO;NO;check if expense documents exist;upload travel expense documents;0;0;7;7;0;86502;86509;60,08;Employee;LX3274;;03.04.17;05.04.17;2;5,32;;truly non-conforming
reporting;file travel expense report;2087;10.04.17 07:48;10.04.17 08:08;NO;NO;upload travel expense documents;file travel expense report;0;0;20;20;0,01;86509;86529;60,09;Employee;LX3274;;03.04.17;05.04.17;2;5,32;;truly non-conforming
reporting;confirm travel expense report;2087;10.04.17 08:08;10.04.17 08:11;NO;NO;file travel expense report;confirm travel expense report;0;0;3;3;0;86529;86532;60,09;Employee;LX3274;;03.04.17;05.04.17;2;5,34;;truly non-conforming
reporting;decide on travel expense approval;2087;10.04.17 14:10;10.04.17 14:12;NO;NO;confirm travel expense report;decide on travel expense approval;0,25;359;2;361;0,25;86532;86893;60,34;Manager;TF7102;;03.04.17;05.04.17;2;5,59;;truly non-conforming
reporting;send original documents to archive;2087;01.05.17 06:59;01.05.17 07:20;NO;NO;decide on travel expense approval;send original documents to archive;20,7;29807;21;29828;20,71;86893;116721;81,06;Employee;LX3274;;03.04.17;05.04.17;2;26,29;;truly non-conforming
reporting;calculate payments;2087;01.05.17 11:32;01.05.17 11:45;NO;NO;send original documents to archive;calculate payments;0,18;252;13;265;0,18;116721;116986;81,24;Accounting;GR7476;;03.04.17;05.04.17;2;26,48;222,58;truly non-conforming
reporting;pay expenses;2087;18.05.17 09:06;18.05.17 09:19;NO;YES;calculate payments;pay expenses;16,89;24321;13;24334;16,9;116986;141320;98,14;Accounting;GR7476;;03.04.17;05.04.17;2;43,38;147,58;truly non-conforming
planning;file travel request;2091;09.02.17 06:19;09.02.17 06:38;YES;NO;pay expenses;file travel request;;;19;19;0,01;;19;0,01;Employee;LI6854;36,72;18.03.17;21.03.17;3;;325,77;truly non-conforming
planning;check if travel request needs preliminary price inquiry;2091;09.02.17 06:38;09.02.17 06:38;NO;NO;file travel request;check if travel request needs preliminary price inquiry;0;0;0;0;0;19;19;0,01;;;36,72;18.03.17;21.03.17;3;;;truly non-conforming
planning;decide on approval requirements;2091;09.02.17 06:38;09.02.17 06:39;NO;NO;check if travel request needs preliminary price inquiry;decide on approval requirements;0;0;1;1;0;19;20;0,01;;;36,72;18.03.17;21.03.17;3;;;truly non-conforming
planning;check if booking is necessary;2091;14.02.17 08:11;14.02.17 08:16;NO;NO;decide on approval requirements;check if booking is necessary;5,06;7292;5;7297;5,07;20;7317;5,08;Travel Department;AW2532;31,66;18.03.17;21.03.17;3;;;truly non-conforming
reporting;check if expense documents exist;2091;23.03.17 21:58;23.03.17 22:25;NO;NO;check if booking is necessary;check if expense documents exist;37,57;54102;27;54129;37,59;7317;61446;42,67;Employee;LI6854;;18.03.17;21.03.17;3;2,92;;truly non-conforming
reporting;file travel expense report;2091;24.03.17 05:59;24.03.17 06:05;NO;NO;check if expense documents exist;file travel expense report;0,32;454;6;460;0,32;61446;61906;42,99;Employee;LI6854;;18.03.17;21.03.17;3;3,25;;truly non-conforming
reporting;confirm travel expense report;2091;24.03.17 06:05;24.03.17 06:06;NO;NO;file travel expense report;confirm travel expense report;0;0;1;1;0;61906;61907;42,99;Employee;LI6854;;18.03.17;21.03.17;3;3,25;;truly non-conforming
reporting;decide on travel expense approval;2091;24.03.17 12:59;24.03.17 13:00;NO;NO;confirm travel expense report;decide on travel expense approval;0,29;413;1;414;0,29;61907;62321;43,28;Manager;DY1868;;18.03.17;21.03.17;3;3,54;;truly non-conforming
reporting;send request for travel expense correction;2091;24.03.17 13:00;24.03.17 13:01;NO;NO;decide on travel expense approval;send request for travel expense correction;0;0;1;1;0;62321;62322;43,28;;;;18.03.17;21.03.17;3;3,54;;truly non-conforming
reporting;correct travel expense report;2091;28.03.17 14:24;28.03.17 16:22;NO;NO;send request for travel expense correction;correct travel expense report;4,06;5843;118;5961;4,14;62322;68283;47,42;Employee;LI6854;;18.03.17;21.03.17;3;7,6;;truly non-conforming
reporting;decide on travel expense approval;2091;29.03.17 13:59;29.03.17 14:02;NO;NO;correct travel expense report;decide on travel expense approval;0,9;1297;3;1300;0,9;68283;69583;48,32;Manager;DY1868;;18.03.17;21.03.17;3;8,58;;truly non-conforming
reporting;send request for travel expense correction;2091;29.03.17 14:02;29.03.17 14:02;NO;NO;decide on travel expense approval;send request for travel expense correction;0;0;0;0;0;69583;69583;48,32;;;;18.03.17;21.03.17;3;8,58;;truly non-conforming
reporting;correct travel expense report;2091;03.04.17 06:59;03.04.17 07:42;NO;NO;send request for travel expense correction;correct travel expense report;4,71;6777;43;6820;4,74;69583;76403;53,06;Employee;LI6854;;18.03.17;21.03.17;3;13,29;;truly non-conforming
reporting;decide on travel expense approval;2091;03.04.17 14:01;03.04.17 14:04;NO;NO;correct travel expense report;decide on travel expense approval;0,26;379;3;382;0,27;76403;76785;53,32;Manager;DY1868;;18.03.17;21.03.17;3;13,58;;truly non-conforming
reporting;send original documents to archive;2091;20.04.17 21:38;20.04.17 21:44;NO;NO;decide on travel expense approval;send original documents to archive;17,32;24934;6;24940;17,32;76785;101725;70,64;Employee;LI6854;;18.03.17;21.03.17;3;30,9;;truly non-conforming
reporting;calculate payments;2091;27.04.17 09:04;27.04.17 09:40;NO;NO;send original documents to archive;calculate payments;6,47;9320;36;9356;6,5;101725;111081;77,14;Accounting;GR7476;;18.03.17;21.03.17;3;37,38;281,11;truly non-conforming
reporting;pay expenses;2091;09.05.17 15:41;09.05.17 15:49;NO;YES;calculate payments;pay expenses;12,25;17641;8;17649;12,26;111081;128730;89,4;Accounting;GR7476;;18.03.17;21.03.17;3;49,65;281,11;truly non-conforming
planning;file travel request;2097;09.02.17 15:31;09.02.17 15:59;YES;NO;pay expenses;file travel request;;;28;28;0,02;;28;0,02;Employee;XE8781;104,33;25.05.17;26.05.17;1;;92,69;truly non-conforming
planning;check if travel request needs preliminary price inquiry;2097;09.02.17 15:59;09.02.17 15:59;NO;NO;file travel request;check if travel request needs preliminary price inquiry;0;0;0;0;0;28;28;0,02;;;104,33;25.05.17;26.05.17;1;;;truly non-conforming
planning;decide on approval requirements;2097;09.02.17 15:59;09.02.17 16:00;NO;NO;check if travel request needs preliminary price inquiry;decide on approval requirements;0;0;1;1;0;28;29;0,02;;;104,33;25.05.17;26.05.17;1;;;truly non-conforming
planning;check if booking is necessary;2097;14.02.17 15:36;14.02.17 15:41;NO;NO;decide on approval requirements;check if booking is necessary;4,98;7176;5;7181;4,99;29;7210;5,01;Travel Department;NV2279;99,35;25.05.17;26.05.17;1;;;truly non-conforming
reporting;check if expense documents exist;2097;29.05.17 06:59;29.05.17 07:23;NO;NO;check if booking is necessary;check if expense documents exist;103,64;149238;24;149262;103,65;7210;156472;108,66;Employee;XE8781;;25.05.17;26.05.17;1;3,29;;truly non-conforming
reporting;upload travel expense documents;2097;29.05.17 07:23;29.05.17 07:38;NO;NO;check if expense documents exist;upload travel expense documents;0;0;15;15;0,01;156472;156487;108,67;Employee;XE8781;;25.05.17;26.05.17;1;3,31;;truly non-conforming
reporting;file travel expense report;2097;29.05.17 07:38;29.05.17 07:47;NO;NO;upload travel expense documents;file travel expense report;0;0;9;9;0,01;156487;156496;108,68;Employee;XE8781;;25.05.17;26.05.17;1;3,32;;truly non-conforming
reporting;confirm travel expense report;2097;29.05.17 07:47;29.05.17 07:52;NO;NO;file travel expense report;confirm travel expense report;0;0;5;5;0;156496;156501;108,68;Employee;XE8781;;25.05.17;26.05.17;1;3,32;;truly non-conforming
reporting;decide on travel expense approval;2097;29.05.17 14:04;29.05.17 14:09;NO;NO;confirm travel expense report;decide on travel expense approval;0,26;372;5;377;0,26;156501;156878;108,94;Manager;MA6233;;25.05.17;26.05.17;1;3,59;;truly non-conforming
reporting;send request for travel expense correction;2097;29.05.17 14:09;29.05.17 14:11;NO;NO;decide on travel expense approval;send request for travel expense correction;0;0;2;2;0;156878;156880;108,94;;;;25.05.17;26.05.17;1;3,59;;truly non-conforming
reporting;correct travel expense report;2097;31.05.17 15:13;31.05.17 16:09;NO;NO;send request for travel expense correction;correct travel expense report;2,04;2942;56;2998;2,08;156880;159878;111,03;Employee;XE8781;;25.05.17;26.05.17;1;5,63;;truly non-conforming
reporting;decide on travel expense approval;2097;01.06.17 13:59;01.06.17 14:01;NO;NO;correct travel expense report;decide on travel expense approval;0,91;1310;2;1312;0,91;159878;161190;111,94;Manager;MA6233;;25.05.17;26.05.17;1;6,58;;truly non-conforming
reporting;send original documents to archive;2097;02.06.17 18:13;02.06.17 18:34;NO;NO;decide on travel expense approval;send original documents to archive;1,18;1692;21;1713;1,19;161190;162903;113,13;Employee;XE8781;;25.05.17;26.05.17;1;7,76;;truly non-conforming
reporting;calculate payments;2097;23.06.17 09:20;23.06.17 10:02;NO;NO;send original documents to archive;calculate payments;20,62;29686;42;29728;20,64;162903;192631;133,77;Accounting;WO40;;25.05.17;26.05.17;1;28,39;60,91;truly non-conforming
reporting;pay expenses;2097;26.06.17 09:46;26.06.17 09:57;NO;YES;calculate payments;pay expenses;2,99;4304;11;4315;3;192631;196946;136,77;Accounting;WO40;;25.05.17;26.05.17;1;31,41;60,91;truly non-conforming
planning;file travel request;2099;09.02.17 18:17;09.02.17 18:36;YES;NO;pay expenses;file travel request;;;19;19;0,01;;19;0,01;Employee;VB2884;96,22;17.05.17;19.05.17;2;;158,03;truly non-conforming
planning;check if travel request needs preliminary price inquiry;2099;09.02.17 18:36;09.02.17 18:36;NO;NO;file travel request;check if travel request needs preliminary price inquiry;0;0;0;0;0;19;19;0,01;;;96,22;17.05.17;19.05.17;2;;;truly non-conforming
planning;decide on approval requirements;2099;09.02.17 18:36;09.02.17 18:37;NO;NO;check if travel request needs preliminary price inquiry;decide on approval requirements;0;0;1;1;0;19;20;0,01;;;96,22;17.05.17;19.05.17;2;;;truly non-conforming
planning;check if booking is necessary;2099;15.02.17 08:02;15.02.17 08:05;NO;NO;decide on approval requirements;check if booking is necessary;5,56;8005;3;8008;5,56;20;8028;5,57;Travel Department;NV2279;90,66;17.05.17;19.05.17;2;;;truly non-conforming
planning;prepare booking proposal;2099;20.02.17 11:05;20.02.17 12:23;NO;NO;check if booking is necessary;prepare booking proposal;5,13;7380;78;7458;5,18;8028;15486;10,75;Travel Department;NV2279;85,48;17.05.17;19.05.17;2;;;truly non-conforming
